year	iso3_d	reg	pop_wb_d	migt_wb	mignt_wb	mig_wb	mig_un	o_mig_un10	o_mig_un9	o_mig_un8	o_mig_un7	o_mig_un6	o_mig_un5	o_mig_un4	o_mig_un3	o_mig_un2	o_mig_un1	o_migt_dioc10	o_migt_dioc9	o_migt_dioc8	o_migt_dioc7	o_migt_dioc6	o_migt_dioc5	o_migt_dioc4	o_migt_dioc3	o_migt_dioc2	o_migt_dioc1	o_mignt_dioc10	o_mignt_dioc9	o_mignt_dioc8	o_mignt_dioc7	o_mignt_dioc6	o_mignt_dioc5	o_mignt_dioc4	o_mignt_dioc3	o_mignt_dioc2	o_mignt_dioc1	avg_o_mig_un	avg_o_migt_dioc	avg_o_mignt_dioc	rank_o_mig_un	rank_o_migt_dioc	rank_o_mignt_dioc	migt_sh_wb	mignt_sh_wb
2020	"GHA"	"Sub-Saharan North"	32180401	89584	246281	405685	405709	6	6	7	7	7	7	7	7	8	8																					6.666667			29			.2208216	.6070744
2020	"HND"	"LATAM"	10121763	6025	24841	38513	38419	1	1	1	1	1	1	1	2	2	3																					1			35			.1564407	.645003
2020	"NOR"	"Nordic"	5379475	275236	513228	844195	828001	19	20	20	20	20	22	22	22	23	23																					20.16667			16			.3260337	.6079496
2020	"BWA"	"Sub-Saharan South"	2546402	26269	72979	101185	96582	7	7	7	7	7	7	8	9	9	9																					7			29			.2596136	.7212433
2020	"MRT"	"Sub-Saharan North"	4498604	1324	118070	145842	145931	2	2	2	2	3	3	4	4	4	4																					2.333333			33			.0090783	.8095747
2020	"SDN"	"Sub-Saharan North"	44440486	297062	856868	1338685	1348983	7	7	7	7	7	7	7	7	7	8																					7			29			.2219058	.6400819
2020	"THA"	"East Asia & Pacific"	71475664	87445	2999161	3631598	3631614	3	3	3	3	3	3	3	4	4	5																					3			33			.0240789	.8258516
2020	"FIN"	"Nordic"	5529543	61620	171028	247953	316351	6	6	6	7	7	7	7	7	7	7																					6.5			29			.2485148	.6897597
2020	"BEN"	"Sub-Saharan North"	12643123	7119	250195	342441	352298	6	6	6	6	7	7	7	7	7	8																					6.333333			29			.020789	.7306222
2020	"ISR"	"MENA without GCC"	9215100	595765	771211	1470524	1353916	39	39	39	39	40	40	41	42	43	43																					39.33333			10			.4051379	.5244464
2020	"CIV"	"Sub-Saharan North"	26811790	59047	2125848	2489670	2489670	13	13	13	13	13	13	13	13	13	14																					13			23			.0237168	.8538674
2020	"BGR"	"Balkan"	6934015	55114	90732	178520	181305	7	9	9	10	10	10	10	10	12	14																					9.166667			26			.3087273	.5082456
2020	"CZE"	"Eastern Europe"	10697858	80620	255535	351948	535498	7	7	8	9	9	9	9	9	9	9																					8.166667			27			.2290679	.726059
2020	"AGO"	"Sub-Saharan South"	33428486	11779	27223	48025	132175	3	3	3	3	3	3	4	4	4	5																					3			33			.2452681	.5668506
2020	"JPN"	"East Asia & Pacific"	1.263e+08	576113	1469685	2490216	2490217	7	7	7	8	9	10	10	10	10	10																					8			28			.2313506	.5901837
2020	"CAF"	"Sub-Saharan North"	5343020	5826	31433	45366	63529	6	6	6	6	6	6	6	7	8	8																					6			30			.1284222	.6928757
2020	"TUN"	"MENA without GCC"	12161723	9052	30179	48494	48492	0	1	1	1	1	1	1	1	3	3																					.8333333			35			.1866623	.6223244
2020	"PER"	"LATAM"	33304756	574420.51	403511.5	1219745	1219455	11	11	11	11	11	11	13	14	16	18																					11			25			.4709349	.3308163
2020	"TGO"	"Sub-Saharan North"	8442580	7966	222613	257357	258016	7	8	8	9	10	11	11	13	14	20																					8.833333			27			.0309531	.8649969
2020	"IND"	"South Asia"	1.396e+09	168765	4200173	4628431	4628429	1	1	1	1	1	1	1	1	2	3																					1			35			.0364627	.9074723
2020	"PAK"	"South Asia"	2.272e+08	40113	2520902	3201270	3201265	1	1	1	1	1	1	1	1	1	1																					1			35			.0125303	.7874693
2020	"YEM"	"MENA without GCC"	32284046	18429	263585	352101	352096	0	0	0	0	0	0	0	0	0	0																					0			36			.0523401	.7486062
2020	"KGZ"	"Central Asia"	6579900	71482	94653	192998	193000	11	11	12	13	13	14	14	14	14	15																					12.33333			23			.3703769	.4904351
2020	"KEN"	"Sub-Saharan South"	51985780	56283	712265	937379	980859	4	4	4	4	4	5	5	5	5	5																					4.166667			31			.060043	.7598474
2020	"UZB"	"Central Asia"	34232050	376018	614234	1085715	1085715	5	5	5	5	5	5	5	5	5	5																					5			31			.3463321	.5657415
2020	"ZWE"	"Sub-Saharan South"	15669666	12587	265365	299405	279676	5	5	5	5	5	5	5	5	5	5																					5			31			.04204	.8863078
2020	"BEL"	"Western Europe"	11538604	371854	1167615	1658516	1859589	40	40	41	43	44	46	46	51	56	60																					42.33333			8			.2242089	.7040119
2020	"MDG"	"Sub-Saharan South"	28225177	10380	2156	13868	13866	1	1	1	1	1	2	2	2	3	3																					1.166667			34			.7484857	.1554658
2020	"BDI"	"Sub-Saharan South"	12220227	17139	73468	113243	312830	3	4	5	5	5	6	6	6	7	7																					4.666667			31			.1513471	.6487641
2020	"MAR"	"MENA without GCC"	36688772	9053	62596	85157	85156	1	1	1	1	1	1	1	2	4	4																					1			35			.1063095	.7350658
2020	"IRL"	"Western Europe"	4985382	405940	495933	988468	855636	10	10	10	11	11	11	11	11	12	12																					10.5			25			.4106759	.5017188
2020	"ZMB"	"Sub-Saharan South"	18927715	8663	97133	116077	162946	5	5	5	5	5	5	6	6	6	8																					5			31			.0746315	.836798
2020	"IRQ"	"MENA without GCC"	42556984	6569	265349	339642	339648	0	0	0	0	0	0	0	0	0	0																					0			36			.019341	.7812608
2020	"COL"	"LATAM"	50930662	359882	1156120	1893002	1893004	2	2	2	2	2	2	2	4	5	6																					2			34			.1901118	.6107336
2020	"VNM"	"East Asia & Pacific"	96648685	31654	24375	69570	69569	0	0	0	0	0	0	0	0	1	2																					0			36			.454995	.3503665
2020	"PRI"	"LATAM"	3281557	0	0	0	237108	2	2	2	2	2	2	2	2	2	3																					2			34				
2020	"URY"	"LATAM"	3429086	39227	61110	100965	100965	4	5	6	6	7	7	7	7	7	7																					5.833333			30			.3885208	.6052592
2020	"LVA"	"Baltic"	1900449	54184	110859	174735	239209	3	3	3	3	4	4	4	4	5	5																					3.333333			32			.3100924	.6344407
2020	"DOM"	"LATAM"	10999664	41999	524380	594439	593821	7	8	8	8	8	8	9	9	11	12																					7.833333			28			.0706532	.8821427
2020	"KAZ"	"Central Asia"	18755666	1040699	1815708	3394702	3394701	5	5	5	5	5	5	5	5	5	5																					5			31			.3065656	.5348652
2020	"ARG"	"LATAM"	45376763	177963	1879832	2236798	2236637	8	8	8	10	10	10	10	12	12	15																					9			27			.0795615	.8404121
2020	"CHN"	"East Asia & Pacific"	1.411e+09	415211	299730	893386	893389	0	0	0	0	0	0	0	0	0	0																					0			36			.464761	.3354989
2020	"DNK"	"Nordic"	5831404	149455	340110	534746	662817	34	35	37	37	38	40	40	43	44	44																					36.83333			11			.2794878	.6360216
2020	"SVN"	"Balkan"	2102419	22304	193948	225677	273322	6	6	6	6	6	6	6	6	7	7																					6			30			.0988315	.8594053
2020	"CRI"	"LATAM"	5123105	97555	370806	503633	503315	11	11	11	11	12	13	13	14	16	18																					11.5			24			.1937026	.7362623
2020	"PHL"	"East Asia & Pacific"	1.122e+08	95418	35190	158867	156905	1	2	2	2	2	3	3	3	4	5																					2			34			.6006156	.221506
2020	"NLD"	"Western Europe"	17441500	554070	1069016	1717730	1924610	41	42	43	44	46	47	48	50	58	64																					43.83333			7			.3225594	.6223423
2020	"BLR"	"Eastern Europe"	9379952	287457	655754	1066693	1066728	9	9	9	9	9	9	9	9	9	9																					9			27			.2694843	.6147542
2020	"JAM"	"LATAM"	2820436	9738	6129	18736	18735	5	5	5	5	5	5	5	5	5	5																					5			31			.5197481	.3271242
2020	"BIH"	"Balkan"	3318407	8264	9567	21494	31046	2	2	2	2	2	2	2	2	2	2																					2			34			.3844794	.445101
2020	"MYS"	"East Asia & Pacific"	33199993	102766	2616383	3240462	3240459	8	8	8	8	8	8	8	8	8	9																					8			28			.0317134	.8074105
2020	"ERI"	"Sub-Saharan North"	3555868	2427	6030	10337	11699	0	0	0	0	0	0	0	0	0	0																					0			36			.2347877	.5833414
2020	"USA"	"Western Offshoots"	3.315e+08	20708597	23183027	46231910	4.56e+07	50	51	54	58	62	64	64	67	72	77																					56.5			3			.4479286	.5014508
2020	"TZA"	"Sub-Saharan South"	61704518	22458	236833	317796	387899	4	4	4	4	4	4	4	4	4	5																					4			32			.070668	.7452359
2020	"BGD"	"South Asia"	1.674e+08	240112	1171647	1761149	1761147	9	10	11	13	13	13	14	14	15	15																					11.5			24			.1363383	.6652742
2020	"MEX"	"LATAM"	1.260e+08	201762	665501	1082240	1170179	1	1	1	2	2	3	3	3	3	5																					1.666667			34			.18643	.6149292
2020	"UKR"	"Eastern Europe"	44132049	1034167	2767243	4571030	4571036	14	14	14	14	15	16	16	17	17	17																					14.5			21			.2262438	.6053872
